adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
tight,465,43.24,275.14,0,0,1,7,4095,20105,6.3636873263944,4095,7,17.5,-10.5,3.8153134840609906,1.9424984122762867
tired,465,43.11,269.86,0,0,1,6,3487,20048,6.259309023792016,3487,6,15.0,-9.0,3.40790551908828,1.6873663826233511
normal,465,42.91,218.8,0,0,1,5,2283,19952,5.099251047204973,2283,5,12.5,-7.5,3.4437378718885294,1.7735776922022775
qualified,465,42.84,290.65,0,0,1,5,4981,19921,6.784525518779737,4981,5,12.5,-7.5,3.276120593761809,1.7236973527604096
wide,465,42.59,224.99,0,0,1,7,2516,19806,5.282257866070761,2516,7,17.5,-10.5,3.922135577588808,1.9378817070345338
appealing,465,42.27,316.34,0,0,1,7,5781,19657,7.483186554715679,5781,7,17.5,-10.5,3.7234827172374363,1.971973075786115
creative,465,42.05,348.82,0,0,1,5,6012,19554,8.295134460780242,6012,5,12.5,-7.5,3.576007744686892,1.9486132618350842
limited,465,42.03,434.54,0,0,0,3,8642,19542,10.339908454369171,8642,3,7.5,-4.5,2.62215223376702,1.57058149704952
awesome,465,41.88,236.61,0,0,1,6,3380,19475,5.649383840303036,3380,6,15.0,-9.0,3.5446907733152666,1.857396956594819
violent,465,41.86,275.21,0,0,2,6,4461,19466,6.574178237171834,4461,6,15.0,-9.0,3.7441391898657064,1.9440265374907248
dramatic,465,41.78,340.33,0,0,1,4,5492,19430,8.144708981576919,5492,4,10.0,-6.0,3.1266253265225568,1.80000447738821
modern,465,41.48,431.55,0,0,1,5,7786,19289,10.403411001310477,7786,5,12.5,-7.5,3.184033678285273,1.8014546649220313
flexible,465,41.4,469.03,0,0,0,3,9754,19251,11.32928966326615,9754,3,7.5,-4.5,2.6017901693134338,1.558856291631676
memorable,465,41.17,503.46,0,0,0,3,10443,19144,12.22895217686639,10443,3,7.5,-4.5,2.449121939911346,1.543294345462046
dead,465,40.89,218.83,0,0,1,9,3640,19014,5.35165991506689,3640,9,22.5,-13.5,3.875309207285867,1.789581432329432
warm,465,40.67,199.02,0,0,2,10,3219,18913,4.893118566495792,3219,10,25.0,-15.0,5.1184940127118725,2.3094070645644966
controversial,465,40.28,313.13,0,0,1,6,5969,18730,7.773824545779368,5969,6,15.0,-9.0,3.0823256028475288,1.6713767578885081
fair,465,40.2,321.24,0,0,1,5,6129,18694,7.990664966972908,6129,5,12.5,-7.5,3.180950739786097,1.7093132693269997
realistic,465,40.13,405.78,0,0,1,6,8304,18659,10.112373722563186,8304,6,15.0,-9.0,3.4143429066724567,1.8399672619941527
clean,465,40.05,245.08,0,0,2,9,4639,18622,6.11979046837726,4639,9,22.5,-13.5,4.643879376721222,2.1884163498002276
traditional,465,39.87,578.38,0,0,0,2,12270,18541,14.505586710475741,12270,2,5.0,-3.0,2.268551866013155,1.478556276029945
essential,465,39.87,244.12,0,0,1,5,3257,18539,6.1230084941134,3257,5,12.5,-7.5,3.069275772242701,1.6578209380835929
suitable,465,39.82,340.84,0,0,0,3,5000,18516,8.559649099724995,5000,3,7.5,-4.5,2.500805493601926,1.531189203313214
