adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
glad,227,205,2,7,2,2,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0
violent,225,61,74,19,27,27,7,0,3,6,0,1,0,0,0,0,0,0,0,0,0
intelligent,225,12,30,11,144,7,8,4,3,2,2,0,2,0,0,0,0,0,0,0,0
radical,224,16,130,36,16,9,2,0,11,2,0,1,1,0,0,0,0,0,0,0,0
drastic,222,9,189,18,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
devastating,221,14,148,38,1,11,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0
aggressive,221,82,38,26,22,16,8,9,9,9,1,1,0,0,0,0,0,0,0,0,0
stupid,220,77,50,16,11,10,7,41,3,1,2,1,1,0,0,0,0,0,0,0,0
ambitious,217,43,70,39,20,22,9,1,6,5,1,0,1,0,0,0,0,0,0,0,0
qualified,216,9,3,50,25,7,13,90,10,3,5,0,1,0,0,0,0,0,0,0,0
acceptable,216,84,29,13,31,33,13,0,3,6,2,0,2,0,0,0,0,0,0,0,0
religious,215,96,38,22,21,5,23,0,1,2,1,2,0,4,0,0,0,0,0,0,0
eager,214,56,2,80,22,5,9,28,3,4,0,1,4,0,0,0,0,0,0,0,0
thrilled,214,53,0,121,5,0,15,18,0,2,0,0,0,0,0,0,0,0,0,0,0
meaningful,213,29,115,37,9,12,2,0,2,3,2,1,1,0,0,0,0,0,0,0,0
light,212,29,102,7,63,2,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0
prevalent,210,143,10,34,3,7,6,0,5,1,0,1,0,0,0,0,0,0,0,0,0
tragic,209,11,138,28,8,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
short,208,53,25,8,93,1,18,0,2,4,3,1,0,0,0,0,0,0,0,0,0
