prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
music,20,15,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tenth,20,16,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
originally,20,17,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
sound,20,15,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
mind,20,13,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0
n''t,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home,20,17,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
`,20,16,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
customers,19,16,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
specifically,19,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-rrb-,19,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
course,19,15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
americans,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traditionally,19,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
financially,19,16,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
will,19,11,1,0,1,2,1,0,1,0,2,0,0,0,0,0,0,0
her,19,14,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0
ai,19,10,1,3,0,2,0,0,1,1,1,0,0,0,0,0,0,0
>,19,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
results,19,16,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
business,19,14,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fundamentally,18,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
years,18,14,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
presently,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
product,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perfectly,18,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
many,18,14,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
