        l1  l2                       f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff        f1       f2         N  
   NEGATED  dressy                  95       35.49              1323                 2511                962    4204        475           77         1893                3971                4204                  77                 612           1893              72.05                 72.05               0.459   0.0001        6.11         0.063       0.00002                0.101              0.00003                0.063              0.00002           59.51   3148010      939  83280549  
   NEGATED  flattering            1574      591.23               195                  389                978     655         94           78          270                3972                 660                  78                 117            270            1182.82               1182.82               0.455   0.0010       24.77         0.063       0.00032                0.101              0.00050                0.063              0.00031          982.77   3148010    15641  83280549  
   NEGATED  squeamish              184       69.21               879                 1713                976    2882        323           79         1256                3973                2883                  79                 411           1256             137.89                137.89               0.455   0.0001        8.46         0.063       0.00004                0.100              0.00006                0.063              0.00004          114.79   3148010     1831  83280549  
   NEGATED  flush                  134       50.77              1103                 2129                987    3495        395           80         1561                3974                3496                  80                 522           1561              99.14                 99.14               0.452   0.0001        7.19         0.062       0.00003                0.100              0.00004                0.062              0.00003           83.23   3148010     1343  83280549  
   NEGATED  conducive             1616      619.35               197                  393               1003     641         93           81          263                3975                 642                  81                 115            263            1171.00               1171.00               0.445   0.0010       24.79         0.061       0.00033                0.099              0.00051                0.061              0.00032          996.65   3148010    16385  83280549  
   NEGATED  cuddly                 178       68.46               933                 1812               1008    2959        335           82         1297                3976                2959                  82                 423           1297             128.14                128.14               0.444   0.0001        8.21         0.060       0.00004                0.098              0.00006                0.060              0.00003          109.54   3148010     1811  83280549  
   NEGATED  enforceable            393      151.28               537                 1065               1016    1805        212           83          777                3977                1808                  83                 269            777             282.47                282.47               0.443   0.0002       12.19         0.060       0.00008                0.098              0.00012                0.060              0.00008          241.72   3148010     4002  83280549  
   NEGATED  gory                   272      104.74               696                 1370               1015    2279        266           84          976                3978                2279                  84                 327            976             195.35                195.35               0.443   0.0002       10.14         0.060       0.00006                0.098              0.00009                0.060              0.00005          167.26   3148010     2771  83280549  
   NEGATED  photogenic             392      152.86               543                 1077               1034    1812        215           85          789                3979                1813                  85                 272            789             275.06                275.06               0.437   0.0002       12.08         0.059       0.00008                0.097              0.00012                0.059              0.00008          239.14   3148010     4044  83280549  
   NEGATED  bright                6295     2457.76                66                  131               1036     185         39           86           84                3980                 181                  86                  47             84            4411.67               4411.67               0.437   0.0039       48.36         0.059       0.00127                0.097              0.00200                0.059              0.00122         3837.24   3148010    65020  83280549  
   NEGATED  cutesy                  94       37.01              1435                 2710               1041    4229        499           87         1957                3981                4229                  87                 627           1957              64.79                 64.79               0.434   0.0001        5.88         0.058       0.00002                0.096              0.00003                0.058              0.00002           56.99   3148010      979  83280549  
   NEGATED  informed               152       59.91              1063                 2060               1043    3259        381           88         1452                3982                3259                  88                 484           1452             104.52                104.52               0.433   0.0001        7.47         0.058       0.00003                0.096              0.00005                0.058              0.00003           92.09   3148010     1585  83280549  
   NEGATED  stark                  780      307.50               337                  673               1048    1127        143           89          487                3983                1128                  89                 178            487             536.25                536.25               0.432   0.0005       16.92         0.058       0.00016                0.096              0.00025                0.058              0.00015          472.50   3148010     8135  83280549  
   NEGATED  runny                  284      111.96               697                 1372               1046    2225        263           90          961                3984                2226                  90                 321            961             195.23                195.23               0.432   0.0002       10.21         0.058       0.00006                0.096              0.00009                0.058              0.00005          172.04   3148010     2962  83280549  
