colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
only_admirable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
only_exemplary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
only_french,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
only_half-occupied,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
only_imcompetent,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
only_misogynist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
only_substantial,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
only_unconscious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otherwise_interested,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
outrageously_appalling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
overly_acidic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
overly_analytical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
overly_long,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0
overly_solemn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
overtly_anxious,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
overwhelmingly_religious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
painfully_conscious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
painfully_controversial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
painfully_self-conscious,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
palestinian_connected,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
particularly_glad,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly_graceful,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
particularly_horrible,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly_untidy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
partly_cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
partly_news-oriented,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
permanently_prepared,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
phenomenally_talented,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
plenty_charismatic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
politically_divisive,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
politically_ignorant,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
politically_unsound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
potentially_coercive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
practically_colorless,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
predominantly_mental,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
presently_definitive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pretty_chilly,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
pretty_docile,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty_hectic,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty_rusty,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty_skittish,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty_sour,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty_spectacular,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty_tired,0,33,0,5,4,0,0,0,0,0,0,0,0,0,0
pretty_toxic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
previously_available,0,13,0,0,0,0,0,0,0,1,0,0,0,19,0
probably_illegal,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
probably_unattainable,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
professionally_negligent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
properly_judicial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
publicly_dormant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
quite_alert,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
