colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
notoriously_difficult,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
probably_wrong,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
somewhat_misleading,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
still_free,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
very_upsetting,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
also_confident,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
also_prepared,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
fairly_strong,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
largely_irrelevant,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
long_over,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
longer_enough,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
pretty_certain,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
pretty_nervous,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
somewhat_unusual,0,36,36,-0.03348,1.10628,0.34829,0.0,1.0,0.0,1.67505,1,37
almost_unknown,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
also_expensive,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
also_happy,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
also_obvious,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
also_vulnerable,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
currently_worth,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
mostly_empty,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
really_wonderful,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
sadly_mistaken,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
too_volatile,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
very_modest,0,35,35,-0.03348,1.07201,0.33659,0.0,1.0,0.0,1.67505,1,36
absolutely_wonderful,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
absolutely_wrong,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
also_apparent,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
bit_different,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
increasingly_willing,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
nowhere_close,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
practically_impossible,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
pretty_safe,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
quite_easy,0,34,34,-0.03348,1.03774,0.32489,0.0,1.0,0.0,1.67505,1,35
