bigram_lower,SUM,direct-adj-head,direct-neg-head
perhaps_critical,1,1,0
physically_able,1,1,0
physically_present,1,1,0
physically_ready,1,1,0
physically_tough,1,1,0
politically_correct,1,1,0
politically_divisive,1,1,0
particularly_firm,1,1,0
particularly_encouraging,1,1,0
particularly_effective,1,1,0
overwhelmingly_impressed,1,1,0
only_likely,1,1,0
only_personal,1,1,0
only_poor,1,1,0
only_popular,1,1,0
only_safe,1,1,0
only_strong,1,1,0
only_ugly,1,1,0
only_unable,1,1,0
only_understandable,1,1,0
openly_gay,1,0,1
otherwise_exempt,1,1,0
overly_delighted,1,1,0
overly_emotional,1,1,0
overly_impressive,1,1,0
overly_interested,1,1,0
overly_optimistic,1,1,0
overly_thick,1,1,0
overly_worried,1,1,0
overtly_unfair,1,0,1
more_special,1,0,1
more_sick,1,1,0
more_shocked,1,1,0
less_spectacular,1,1,0
less_astonishing,1,1,0
less_bright,1,1,0
less_dangerous,1,1,0
less_important,1,1,0
less_impressive,1,1,0
less_nervous,1,1,0
less_ominous,1,1,0
less_shocking,1,1,0
less_skilled,1,1,0
less_strict,1,1,0
merely_corrupt,1,0,1
less_weird,1,1,0
longer_applicable,1,1,0
longer_fit,1,1,0
longer_viable,1,1,0
medically_necessary,1,1,0
mentally_competent,1,1,0
mentally_incompetent,1,1,0
mentally_ready,1,1,0
mentally_stable,1,1,0
legally_eligible,1,1,0
legally_correct,1,1,0
just_wrong,1,1,0
just_wide,1,1,0
immediately_evident,1,1,0
indeed_present,1,1,0
inherently_bad,1,1,0
inherently_cruel,1,1,0
internationally_competitive,1,1,0
just_apparent,1,1,0
just_concerned,1,1,0
just_free,1,1,0
just_important,1,1,0
just_intrusive,1,1,0
just_larger,1,1,0
just_popular,1,1,0
just_prevalent,1,1,0
just_random,1,1,0
just_ready,1,1,0
just_red,1,1,0
just_republican,1,1,0
just_simple,1,1,0
just_weird,1,1,0
merely_ceremonial,1,1,0
morally_acceptable,1,1,0
more_secretive,1,1,0
more_outspoken,1,1,0
more_improbable,1,1,0
more_indicative,1,1,0
more_intractable,1,0,1
more_likely,1,1,0
more_memorable,1,0,1
more_narrow,1,1,0
more_negligent,1,1,0
more_notorious,1,0,1
more_obvious,1,1,0
more_painful,1,1,0
morally_right,1,1,0
more_potent,1,1,0
more_precious,1,1,0
more_prepared,1,1,0
more_pressing,1,0,1
more_proud,1,1,0
more_recent,1,1,0
more_reckless,1,1,0
more_relevant,1,1,0
more_secret,1,0,1
more_honest,1,1,0
more_glaring,1,1,0
more_frustrating,1,1,0
more_fitting,1,1,0
more_absurd,1,1,0
more_accessible,1,1,0
more_achievable,1,1,0
more_aggressive,1,1,0
more_amusing,1,1,0
more_apparent,1,1,0
more_appropriate,1,1,0
more_competent,1,1,0
more_complicated,1,0,1
more_concerned,1,1,0
more_confident,1,1,0
more_crowded,1,1,0
more_current,1,1,0
more_dangerous,1,1,0
more_democratic,1,1,0
more_difficult,1,1,0
more_disappointed,1,1,0
more_essential,1,1,0
more_fair,1,1,0
only_fresh,1,1,0
