    l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
NEGMIR  whining                6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  unsupported            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  expired                6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  invulnerable           5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
POSMIR  sub-par                5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
POSMIR  assignable             5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
NEGMIR  suffering              5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
POSMIR  under-employed         5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
NEGMIR  dreaded                5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
POSMIR  shrinking              5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
POSMIR  unconscionable         5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
POSMIR  unorganized            5     2.50              1377                237          176         2390                   1                5430               6.93               1.041        0.5000       0.00002               1.0000              0.00002  291735      5  583470  
